node,lat,lon
3987,-6.8165054,39.2894367
3988,44.9719697,-93.4367975
3992,53.5497378,10.0482593
3994,48.2141859,16.3576922
3996,10.2441931,-67.6066164
3997,13.0107776,74.794309
3998,52.7179113,6.2003505
4000,50.0993176,8.637215
4001,51.1065537,16.9835889
4005,45.5114122,9.2092861
4007,-33.0242306,-60.626934
4010,35.7218583,51.3346954
4012,49.7901343,6.0881599
4015,55.7271361,12.3774522
4016,47.3768866,8.541694
4021,35.7218583,51.3346954
4022,14.6061054,-90.5097973
4025,43.6508466,-79.3622483
4028,25.028267,55.1207923
4030,59.4092708,17.9491412
4036,50.1256294,14.4857942
4042,38.0727612,23.7744704
4043,-6.2387363,106.8239244
4044,36.0709709,140.1997431
4050,50.083418,19.9012822
4051,47.4597154,8.5509566
4053,52.3329076,4.919533
4056,10.2609675,-85.5843632
4059,37.8791052,-122.2542383
4060,6.8518697,158.2146857
4062,49.0785872,17.4845068
4065,39.1373431,-94.5777582
4066,50.0969757,8.6300397
4071,47.5179561,19.0555027
4074,-34.8986369,-56.0640686
4075,10.0832333,-67.7812751
4076,53.1069929,6.8827766
4078,36.2319774,-115.101894
4080,52.3952565,4.8635297
4081,52.3952783,4.8635061
4082,52.1904373,20.9221191
4084,43.3608401,5.3381998
4087,45.3829095,11.9416553
4089,59.3624024,17.9564812
4090,52.3918792,4.665237
4091,7.3966118,134.5690225
4092,53.5497378,10.0482593
4097,-33.9703557,18.4642348
4099,-33.9705866,18.4643491
4100,22.3520405,114.123715
4106,-20.2418916,57.4895998
4110,-33.9238621,18.41415
4114,47.6143474,-122.3388835
4115,33.755807,-84.391066
4116,40.7431561,-74.007694
4118,33.926306,-118.3940759
4120,48.9280381,2.3520278
4123,34.04728,-118.25685
4125,34.1557798,-118.8188305
4133,27.6744259,85.3123293
4135,33.926306,-118.3940759
4136,33.926306,-118.3940759
4138,48.5688705,7.7824063
4139,49.8851613,8.6514146
4147,25.073448,121.5776249
4148,23.1005025,120.2815341
4149,25.074213,121.576784
4151,25.074213,121.576784
4152,48.2102576,16.3784797
4154,51.9229522,4.431146
4155,37.4718094,-121.9201106
4156,23.1005025,120.2815341
4158,48.2694063,16.4107263
4159,45.8063817,9.0851867
4161,25.074213,121.576784
4162,22.3676269,114.136576
4164,-34.0374914,18.4778788
4169,65.8046941,21.6821152
4174,37.9571555,-8.8608907
4177,50.1281919,8.6014355
4178,-6.2357387,106.8210187
4180,39.0164848,-77.4619615
4181,48.9013372,2.4176696
4182,13.6845468,-89.2327793
4185,-23.4925647,-46.7759993
4186,1.2959615,103.7908077
4187,39.0155032,-77.4593579
4189,47.9716373,-122.2123096
4195,39.7576506,-104.4293915
4196,35.5668071,139.7494435
4197,33.926306,-118.3940759
4204,48.5686156,7.7825993
4208,11.5544582,43.0000529
4209,11.5544582,43.0000529
4212,41.3324068,19.8069276
4214,52.2163007,6.8209885
4215,52.280066,4.75429
4216,52.5136252,13.616997
4220,35.5873863,139.5915918
4227,24.0797051,120.558532
4232,50.1171075,14.5929056
4233,50.270324,14.855968
4234,10.0677719,-69.3473509
4235,59.4354815,24.7249998
4236,32.8381702,-96.8789206
4237,3.1499222,101.6944619
4238,4.7549818,-74.138923
4240,-50.337969,-72.2647981
4242,-1.6554178,-78.6932713
4244,14.6349149,-90.5068824
4246,46.0574499,14.5052118
4247,-30.7113387,-62.0065703
4248,23.8879166,121.5352808
4250,-34.0374914,18.4778788
4251,42.6977082,23.3218675
4253,40.4904856,-3.6910651
4259,10.0677719,-69.3473509
4260,10.4805937,-66.9036063
4261,10.1445691,-64.67768
4263,-2.0763162,-79.9226196
4264,41.3873974,2.168568
4268,51.18819,6.86728
4269,9.9280694,-84.0907246
4272,42.6823398,23.3340813
4273,49.8459935,6.0997559
4274,54.960971,-1.632163
4276,-6.2386491,106.8240784
4282,-39.056523,174.0755872
4283,47.4330684,8.5574095
4286,-30.2950405,153.1131776
4288,-6.253439,106.8327024
4291,45.4753265,9.1031904
4292,8.4791275,-13.2717507
4295,25.7757021,-80.193056
4297,40.5114453,-111.8877168
4300,-7.0027835,112.5642138
4302,-31.9559013,115.7976675
4303,43.315225,-80.9507541
4304,50.126708,8.5816696
4305,46.1994058,6.0558337
4314,34.6939105,135.4942609
4315,46.2043907,6.1431577
4319,35.0282923,135.7839748
4320,35.6994563,139.5030584
4324,2.921318,101.6559349
4325,-33.9207829,151.1885477
4327,-38.416097,-63.616672
4328,47.0154092,28.8730812
4333,2.9381283,101.6578178
4334,48.2080696,16.3713095
4335,49.2594269,-123.0296962
4340,43.2379761,76.8828618
4342,51.209707,6.8274176
4344,-0.322865,37.6546274
4345,39.1373431,-94.5777582
4347,35.7218583,51.3346954
4349,14.2724713,121.0655956
4351,7.0453216,125.5332774
4359,67.2936736,14.432559
4361,-25.747689,28.274793
4362,50.8874648,4.4555593
4364,-8.5211471,179.1961926
4371,-17.3852792,-66.1583161
4377,31.469805,74.4111237
4382,6.9416245,79.8795738
4383,52.2938124,4.9456853
4384,45.477524,9.1026935
4387,51.9885986,15.5662275
4393,52.2936583,4.9456065
4395,6.9346212,79.8468999
4397,48.1630019,14.0388355
4402,50.1281919,8.6014355
4403,48.9142653,2.3621093
4404,50.0988499,8.6320043
4406,40.4021685,49.8083137
